Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
02/12/2018,"Make Smthg Week @ Casa dell'Ambiente",,5,4,25.81,2.84,2,3,1,21
02/12/2018,STPLN,,4,3,193.31,14.35,3,0,0,18
01/12/2018,THINQTANQ,,18,6,134.4,11.7,6,4,0,27
01/12/2018,"Abbey Community Centre",,21,7,90,12.78,6,9,7,30
01/12/2018,"Bridge Street Church",,0,1,0,0,0,0,0,12
01/12/2018,"All Saints Church Hall",,0,3,32.45,11,4,2,2,18
01/12/2018,Southampton,,21,8,98,24.29,8,2,9,33
01/12/2018,"TTF Café Collective",,8,2,81.65,19.17,4,2,1,15
01/12/2018,Graceworks,,10,11,30.41,1.14,2,7,1,42
29/11/2018,"Archer Academy (Finchley)",,22,5,44,3.66,4,3,1,24
26/11/2018,Brunnenviertel,,12,4,0,0,0,0,0,21
26/11/2018,Brunnenviertel,,13,6,65.45,13.09,6,0,2,27
26/11/2018,Brunnenviertel,,0,1,6.08,0.78,3,0,0,12
26/11/2018,"Jornades UPC Reutilitza",,0,1,162.13,4.76,2,1,3,12
25/11/2018,"The Hong Kong University of Science and Technology",,17,3,290.32,3.52,10,7,0,18
25/11/2018,STPLN,,11,6,69.15,11.8,3,1,2,27
24/11/2018,"Totnes Civic Hall",,32,6,338.74,31.89,12,7,4,27
24/11/2018,"Broomhill Gardens and Community Hub",,9,1,25.11,4.38,4,0,0,12
24/11/2018,"N9 fabriek",,0,1,0,0,0,0,0,12
24/11/2018,"Milano Cascina Cuccagna, Giacimenti Urbani",,15,6,169.07,5.45,8,4,2,27
22/11/2018,"VMA, Hringteigur",,9,5,141.67,2.16,4,0,7,24
18/11/2018,"Reading Hackspace, rLab",,8,11,147.34,29.13,10,1,3,42
18/11/2018,STPLN,,4,3,22.53,1.55,3,1,0,18
17/11/2018,Portsmouth,,57,12,150.88,19.54,12,11,3,45
17/11/2018,"Crediton Methodist Church hall",,36,29,254.52,28.95,10,0,7,96
17/11/2018,"Limerick FabLAB",,12,6,177.45,3.84,6,4,3,27
17/11/2018,"Kinning Park Complex",,26,5,61.59,12.9,4,5,2,24
17/11/2018,Southampton,,14,7,97.12,5.17,5,3,5,30
17/11/2018,Bookique,,0,1,0,0,0,0,0,12
15/11/2018,"Restart @Engim",,6,2,0,0,0,3,0,15
11/11/2018,"Upper Norwood Library",,18,5,135.21,29.24,8,4,4,24
11/11/2018,"Hong Kong University of Science and Technology",,22,3,125.52,1.07,5,20,1,18
11/11/2018,"STPLN, Malmö",,4,2,31.34,0.17,3,3,2,15
10/11/2018,"Granville Community Centre (Kilburn)",,20,7,111.23,16.29,6,11,8,30
10/11/2018,"Pont Saint Martin - Valle d'Aosta",,8,1,103.81,7.29,4,3,0,12
10/11/2018,"Monkey Park",,0,2,120.73,7.62,5,3,3,15
10/11/2018,"Fiksefest på Manglerud senter",,32,14,570.38,37.05,20,8,2,51
08/11/2018,"VMA, Hringteigur",,0,1,0,0,0,0,0,12
08/11/2018,"Restart Party @ FabLab #43",,6,4,15.4,3.97,2,3,0,21
07/11/2018,"Réparothon jeunesse - Polytechnique",,0,4,0,0,0,0,0,21
04/11/2018,"In.Te.Se.  Settimana del riuso, Savigliano",,5,7,256.89,5.55,5,4,1,30
03/11/2018,"Sherwood Methodist Church",,37,10,113.13,12.61,11,13,5,39
03/11/2018,"Ruislip Manor Library",,18,5,151.35,21.9,9,9,3,24
03/11/2018,Southampton,,31,9,465.03,47.71,15,7,11,36
31/10/2018,"In.Te.Se. Settimana del riuso, Savigliano",,4,3,0.64,0.04,1,0,2,18
28/10/2018,"STPLN, Malmö",,1,4,9.44,1.19,1,2,0,21
27/10/2018,"BOW Café Ymeria",,40,13,949.35,86.09,20,7,2,48
27/10/2018,"Homerton Library",,34,5,232.24,9.75,11,8,7,24
27/10/2018,"Kingsgate Community Centre",,5,8,7.9,2.7,1,3,3,33
27/10/2018,TEDxGracia,,0,1,0,0,0,0,0,12
27/10/2018,"Aosta - Cittadella",,10,4,43.97,9.33,9,2,0,21
27/10/2018,"Linux Day Torino 2018",,8,7,329.34,6.66,3,4,0,30
26/10/2018,"Cambridge Kids' at Arts Picturehouse",,0,1,0,0,0,0,0,12
24/10/2018,"Réparothon jeunesse au collège Rosemont",,0,3,0,0,0,0,0,18
